Vietnamese,Korean,Vietnamese_Sentence,Korean_Sentence,tts_url,images_url
niềm vui,기쁨,Niềm vui của tôi là được ở bên gia đình,저의 기쁨은 가족과 함께 있는 것입니다.,https://r2.sangsang.vip/mp3/f3c183d97af0f5a415d83eb27d38cdd0.mp3,https://r2.sangsang.vip/images/Niềm_vui_của_tôi_là_được_ở_bên_gia_đình.png
hy vọng,희망,Đừng bao giờ từ bỏ hy vọng,절대 희망을 버리지 마세요.,https://r2.sangsang.vip/mp3/aea5dec1350e58a467c98f31b2265816.mp3,https://r2.sangsang.vip/images/Đừng_bao_giờ_từ_bỏ_hy_vọng.png
ước mơ,꿈,Ước mơ của tôi là trở thành bác sĩ,제 꿈은 의사가 되는 것입니다.,https://r2.sangsang.vip/mp3/3bb7a01db3ab92693274b2ab9456d29c.mp3,https://r2.sangsang.vip/images/Ước_mơ_của_tôi_là_trở_thành_bác_sĩ.png
cuộc sống,삶/인생,Cuộc sống luôn có nhiều thử thách,인생은 항상 많은 도전이 있습니다.,https://r2.sangsang.vip/mp3/c9783b5c1242fc765a41a2d1aaa75d10.mp3,https://r2.sangsang.vip/images/Cuộc_sống_luôn_có_nhiều_thử_thách.png
cái chết,죽음,Ai cũng phải đối mặt với cái chết,누구나 죽음을 마주해야 합니다.,https://r2.sangsang.vip/mp3/699a79310277d08ce85acaf122d09edc.mp3,https://r2.sangsang.vip/images/Ai_cũng_phải_đối_mặt_với_cái_chết.png
sức khỏe,건강,Sức khỏe là vàng,건강은 금입니다.,https://r2.sangsang.vip/mp3/2c3d132e15f04c533e60ba533cd9b635.mp3,https://r2.sangsang.vip/images/Sức_khỏe_là_vàng.png
bệnh,병,Anh ấy đang bị bệnh,그는 아파요.,https://r2.sangsang.vip/mp3/61b71be465848cfdcb7b6cc572b041de.mp3,https://r2.sangsang.vip/images/Anh_ấy_đang_bị_bệnh.png
cảm cúm,감기,Tôi bị cảm cúm rồi,감기에 걸렸어요.,https://r2.sangsang.vip/mp3/bad9962e296a65be2ec732127687c04e.mp3,https://r2.sangsang.vip/images/Tôi_bị_cảm_cúm_rồi.png
sốt,열,Em bé đang bị sốt,아기가 열이 나고 있어요.,https://r2.sangsang.vip/mp3/05959a85a387e04e70fb3d7e185be12d.mp3,https://r2.sangsang.vip/images/Em_bé_đang_bị_sốt.png
ho,기침,Anh ấy ho cả đêm,그는 밤새 기침을 했어요.,https://r2.sangsang.vip/mp3/148f3c4c5c2a9ee0de84b77d46ac2684.mp3,https://r2.sangsang.vip/images/Anh_ấy_ho_cả_đêm.png
đau,아픔/통증,Tôi bị đau bụng,배가 아파요.,https://r2.sangsang.vip/mp3/c4761250d7fc17f6e89d32182d730800.mp3,https://r2.sangsang.vip/images/Tôi_bị_đau_bụng.png
mệt,피곤함,Hôm nay tôi cảm thấy rất mệt,오늘 정말 피곤해요.,https://r2.sangsang.vip/mp3/ece6288e6c37276f34dcde00a972a53d.mp3,https://r2.sangsang.vip/images/Hôm_nay_tôi_cảm_thấy_rất_mệt.png
khỏe,건강함,Tôi hoàn toàn khỏe mạnh,저는 완전히 건강해요.,https://r2.sangsang.vip/mp3/3e07b81c4187d76e58afb5f7e0bf776d.mp3,https://r2.sangsang.vip/images/Tôi_hoàn_toàn_khỏe_mạnh.png
thời gian,시간,Thời gian trôi nhanh quá,시간이 정말 빨리 가네요.,https://r2.sangsang.vip/mp3/f2d1c16a4ffdaca64100969b15e13354.mp3,https://r2.sangsang.vip/images/Thời_gian_trôi_nhanh_quá.png
giờ,시간 (단위),Bây giờ là mấy giờ?,지금 몇 시예요?,https://r2.sangsang.vip/mp3/903606ad3a99f4a42be9c3590ae0323b.mp3,https://r2.sangsang.vip/images/Bây_giờ_là_mấy_giờ.png
phút,분,Chờ tôi 5 phút nhé,5분만 기다려주세요.,https://r2.sangsang.vip/mp3/f94ded7a8a102683f1a7bb5c3bfb289c.mp3,https://r2.sangsang.vip/images/Chờ_tôi_5_phút_nhé.png
giây,초,Một phút có 60 giây,1분은 60초입니다.,https://r2.sangsang.vip/mp3/f73c3051e8be924278d98ce390a406f3.mp3,https://r2.sangsang.vip/images/Một_phút_có_60_giây.png
buổi sáng,아침,Chào buổi sáng,안녕하세요. (아침 인사),https://r2.sangsang.vip/mp3/750762de607f367dc623ed36c3484a51.mp3,https://r2.sangsang.vip/images/Chào_buổi_sáng.png
buổi trưa,점심,Buổi trưa bạn ăn gì?,점심에 뭐 드셨어요?,https://r2.sangsang.vip/mp3/e2eb658259376c49d8df1ddd12e1a7ca.mp3,https://r2.sangsang.vip/images/Buổi_trưa_bạn_ăn_gì.png
buổi chiều,오후,Buổi chiều tôi thường đi tập thể dục,오후에 저는 보통 운동하러 가요.,https://r2.sangsang.vip/mp3/2066ba0d873776220d835876a90ddd44.mp3,https://r2.sangsang.vip/images/Buổi_chiều_tôi_thường_đi_tập_thể_dục.png
buổi tối,저녁,Buổi tối bạn thường làm gì?,저녁에 보통 뭐 하세요?,https://r2.sangsang.vip/mp3/2d98e882b7364054fefe3f6224c002fe.mp3,https://r2.sangsang.vip/images/Buổi_tối_bạn_thường_làm_gì.png
đêm,밤,Chúc ngủ ngon,안녕히 주무세요.,https://r2.sangsang.vip/mp3/adef72edcdfb6ef94ef5b673c05c0d08.mp3,https://r2.sangsang.vip/images/Chúc_ngủ_ngon.png
hôm nay,오늘,Hôm nay là thứ mấy?,오늘 무슨 요일이에요?,https://r2.sangsang.vip/mp3/fe3d1bdd6992ac1fde0280ac19626ee5.mp3,https://r2.sangsang.vip/images/Hôm_nay_là_thứ_mấy.png
hôm qua,어제,Hôm qua tôi đã đi xem phim,어제 영화 보러 갔어요.,https://r2.sangsang.vip/mp3/2c1ebaf3c3326cae01117e73a7c418e5.mp3,https://r2.sangsang.vip/images/Hôm_qua_tôi_đã_đi_xem_phim.png
ngày mai,내일,Ngày mai chúng ta sẽ gặp nhau,내일 우리 만나요.,https://r2.sangsang.vip/mp3/fb5eeaf58b1749fe9c9acee5d790bdec.mp3,https://r2.sangsang.vip/images/Ngày_mai_chúng_ta_sẽ_gặp_nhau.png
tuần,주,Một tuần có 7 ngày,일주일은 7일입니다.,https://r2.sangsang.vip/mp3/c90922900a9d197813038918509789b9.mp3,https://r2.sangsang.vip/images/Một_tuần_có_7_ngày.png
thứ hai,월요일,Thứ hai là ngày đầu tuần,월요일은 한 주의 시작입니다.,https://r2.sangsang.vip/mp3/da35930134b1bf1b29c8ab964ea8a62a.mp3,https://r2.sangsang.vip/images/Thứ_hai_là_ngày_đầu_tuần.png
thứ ba,화요일,Tôi có cuộc họp vào thứ ba,화요일에 회의가 있어요.,https://r2.sangsang.vip/mp3/7858ade67827bf53ed0514a560d85508.mp3,https://r2.sangsang.vip/images/Tôi_có_cuộc_họp_vào_thứ_ba.png
thứ tư,수요일,Thứ tư tôi đi học tiếng Việt,수요일에 베트남어 배우러 가요.,https://r2.sangsang.vip/mp3/773aeae982d7b025e48da6933dce612d.mp3,https://r2.sangsang.vip/images/Thứ_tư_tôi_đi_học_tiếng_Việt.png
thứ năm,목요일,Thứ năm tuần này bạn rảnh không?,이번 주 목요일에 시간 있어요?,https://r2.sangsang.vip/mp3/1d3636599291b2cef32bdf15729c5484.mp3,https://r2.sangsang.vip/images/Thứ_năm_tuần_này_bạn_rảnh_không.png
thứ sáu,금요일,Tôi rất thích ngày thứ sáu,저는 금요일을 아주 좋아해요.,https://r2.sangsang.vip/mp3/5ca12df7dc4dfd9efe98e263ee2cb329.mp3,https://r2.sangsang.vip/images/Tôi_rất_thích_ngày_thứ_sáu.png
thứ bảy,토요일,Thứ bảy bạn thường làm gì?,토요일에 보통 뭐 하세요?,https://r2.sangsang.vip/mp3/5dfae87a8c45620ffa9c98b11d3993bd.mp3,https://r2.sangsang.vip/images/Thứ_bảy_bạn_thường_làm_gì.png
chủ nhật,일요일,Chủ nhật tôi thường ở nhà,일요일에 저는 보통 집에 있어요.,https://r2.sangsang.vip/mp3/fc1c21d545a9e89fa4ed3be4b856d258.mp3,https://r2.sangsang.vip/images/Chủ_nhật_tôi_thường_ở_nhà.png
gia đình,가족,Gia đình tôi có 4 người,우리 가족은 4명입니다.,https://r2.sangsang.vip/mp3/81b54630e5d177fd310a63a8fd4542eb.mp3,https://r2.sangsang.vip/images/Gia_đình_tôi_có_4_người.png
ông,할아버지,Ông tôi đã 80 tuổi,할아버지는 80세입니다.,https://r2.sangsang.vip/mp3/1a59e404d4e8f8525aefdbb807e1ba28.mp3,https://r2.sangsang.vip/images/Ông_tôi_đã_80_tuổi.png
bà,할머니,Bà tôi rất hiền,할머니는 매우 온화하세요.,https://r2.sangsang.vip/mp3/0e591bc28e98b46e679ef02ec23ae687.mp3,https://r2.sangsang.vip/images/Bà_tôi_rất_hiền.png
anh,형/오빠,Anh trai tôi là kỹ sư,형은 엔지니어입니다.,https://r2.sangsang.vip/mp3/4236644a784fe24e31cbdc4aafcfe0d6.mp3,https://r2.sangsang.vip/images/Anh_trai_tôi_là_kỹ_sư.png
chị,누나/언니,Chị gái tôi đã kết hôn,누나는 결혼했어요.,https://r2.sangsang.vip/mp3/b025430a3a07f8696a699845d4e91cb6.mp3,https://r2.sangsang.vip/images/Chị_gái_tôi_đã_kết_hôn.png
em,동생,Em trai tôi còn đi học,남동생은 아직 학생이에요.,https://r2.sangsang.vip/mp3/74b250d5373aa4c5dd6bbd63863fc524.mp3,https://r2.sangsang.vip/images/Em_trai_tôi_còn_đi_học.png
chồng,남편,Chồng tôi là người Hàn Quốc,제 남편은 한국 사람입니다.,https://r2.sangsang.vip/mp3/908edaaf868c1a44d8805a753ae23050.mp3,https://r2.sangsang.vip/images/Chồng_tôi_là_người_Hàn_Quốc.png
vợ,아내,Vợ tôi rất xinh đẹp,제 아내는 매우 아름답습니다.,https://r2.sangsang.vip/mp3/03f4a2d724570fbfaed0307c02ba7ff9.mp3,https://r2.sangsang.vip/images/Vợ_tôi_rất_xinh_đẹp.png
học sinh,학생,Tôi là học sinh,저는 학생입니다.,https://r2.sangsang.vip/mp3/5d1cb1b8c6088ef8ba55412916cd8e0d.mp3,https://r2.sangsang.vip/images/Tôi_là_học_sinh.png
sinh viên,대학생,Anh ấy là sinh viên đại học,그는 대학생입니다.,https://r2.sangsang.vip/mp3/8fa3412e05c5573672b2f19f74753445.mp3,https://r2.sangsang.vip/images/Anh_ấy_là_sinh_viên_đại_học.png
giáo viên,선생님,Cô giáo của tôi rất tốt bụng,제 선생님은 매우 친절하세요.,https://r2.sangsang.vip/mp3/1107b81a90525d16fb61bd012c29209e.mp3,https://r2.sangsang.vip/images/Cô_giáo_của_tôi_rất_tốt_bụng.png
bác sĩ,의사,Bác sĩ nói tôi cần nghỉ ngơi,의사 선생님이 저에게 휴식이 필요하다고 말씀하셨어요.,https://r2.sangsang.vip/mp3/4546dd87eef2f08701a396424e6fc625.mp3,https://r2.sangsang.vip/images/Bác_sĩ_nói_tôi_cần_nghỉ_ngơi.png
y tá,간호사,Cô y tá rất chu đáo,간호사님은 매우 세심하세요.,https://r2.sangsang.vip/mp3/abb1628960dad690f5af69097c2d298f.mp3,https://r2.sangsang.vip/images/Cô_y_tá_rất_chu_đáo.png
công nhân,노동자,Bố tôi là công nhân,아버지는 노동자입니다.,https://r2.sangsang.vip/mp3/b60ac473c8e39844f86851d0efde1ff5.mp3,https://r2.sangsang.vip/images/Bố_tôi_là_công_nhân.png
nông dân,농부,Ông tôi là một người nông dân,할아버지는 농부입니다.,https://r2.sangsang.vip/mp3/fa2eb18b5ee0c98c80079acea9a4a673.mp3,https://r2.sangsang.vip/images/Ông_tôi_là_một_người_nông_dân.png
lái xe,운전사,Bác tài xế lái xe rất cẩn thận,운전기사님은 운전을 매우 조심스럽게 하세요.,https://r2.sangsang.vip/mp3/d0fc9671d7bfa006ec1db8f64185e233.mp3,https://r2.sangsang.vip/images/Bác_tài_xế_lái_xe_rất_cẩn_thận.png
đầu bếp,요리사,Anh ấy là một đầu bếp giỏi,그는 훌륭한 요리사입니다.,https://r2.sangsang.vip/mp3/a83852a88573e72d83a7bdb9c192a269.mp3,https://r2.sangsang.vip/images/Anh_ấy_là_một_đầu_bếp_giỏi.png
ca sĩ,가수,Cô ấy là một ca sĩ nổi tiếng,그녀는 유명한 가수입니다.,https://r2.sangsang.vip/mp3/22c2ec079d63091dfb6e61b5487e2a44.mp3,https://r2.sangsang.vip/images/Cô_ấy_là_một_ca_sĩ_nổi_tiếng.png
diễn viên,배우,Diễn viên đó diễn rất hay,저 배우는 연기를 아주 잘해요.,https://r2.sangsang.vip/mp3/13cc7b58e520758baf7b42a25bf27af7.mp3,https://r2.sangsang.vip/images/Diễn_viên_đó_diễn_rất_hay.png
giám đốc,사장/감독,Giám đốc của tôi rất nghiêm khắc,제 사장님은 매우 엄격하세요.,https://r2.sangsang.vip/mp3/821a071e1bda083387e52fb1ec31d0cb.mp3,https://r2.sangsang.vip/images/Giám_đốc_của_tôi_rất_nghiêm_khắc.png
nhân viên,직원,Nhân viên công ty đều rất chăm chỉ,회사 직원들은 모두 매우 열심히 일해요.,https://r2.sangsang.vip/mp3/78b9a8abeed658d98dd42b8d1135bc5e.mp3,https://r2.sangsang.vip/images/Nhân_viên_công_ty_đều_rất_chăm_chỉ.png
khách hàng,고객,Khách hàng là thượng đế,손님은 왕입니다.,https://r2.sangsang.vip/mp3/029b3824d7a438c6b6917fb6981c4251.mp3,https://r2.sangsang.vip/images/Khách_hàng_là_thượng_đế.png
cảnh sát,경찰,Cảnh sát đang điều tra vụ án,경찰이 사건을 조사하고 있습니다.,https://r2.sangsang.vip/mp3/65066d789c63d305729076f66ac75894.mp3,https://r2.sangsang.vip/images/Cảnh_sát_đang_điều_tra_vụ_án.png
bộ đội,군인,Anh ấy là một người lính,그는 군인입니다.,https://r2.sangsang.vip/mp3/4492b94802970985fcdf4e0c8293dc6c.mp3,https://r2.sangsang.vip/images/Anh_ấy_là_một_người_lính.png
luật sư,변호사,Tôi cần một luật sư giỏi,저는 훌륭한 변호사가 필요해요.,https://r2.sangsang.vip/mp3/14565c7a3a4e9a23d9fdfb310f4959d9.mp3,https://r2.sangsang.vip/images/Tôi_cần_một_luật_sư_giỏi.png
kỹ sư,엔지니어,Anh ấy là một kỹ sư xây dựng,그는 건설 엔지니어입니다.,https://r2.sangsang.vip/mp3/23aa26dc82d45fde84941c46b126bb4c.mp3,https://r2.sangsang.vip/images/Anh_ấy_là_một_kỹ_sư_xây_dựng.png
kiến trúc sư,건축가,Kiến trúc sư đã thiết kế ngôi nhà này,건축가가 이 집을 설계했습니다.,https://r2.sangsang.vip/mp3/f25ff9e12d86e2b023780ef02e5e66f8.mp3,https://r2.sangsang.vip/images/Kiến_trúc_sư_đã_thiết_kế_ngôi_nhà_này.png
họa sĩ,화가,Bức tranh này do một họa sĩ nổi tiếng vẽ,이 그림은 유명한 화가가 그렸습니다.,https://r2.sangsang.vip/mp3/f3f76a32b3f5006b0a57b94b3ba28d63.mp3,https://r2.sangsang.vip/images/Bức_tranh_này_do_một_họa_sĩ_nổi_tiếng_vẽ.png
nhà văn,작가,Nhà văn đó đã viết nhiều cuốn tiểu thuyết hay,저 작가는 많은 좋은 소설을 썼습니다.,https://r2.sangsang.vip/mp3/89c43ae764bb10d749c3df69877b200a.mp3,https://r2.sangsang.vip/images/Nhà_văn_đó_đã_viết_nhiều_cuốn_tiểu_thuyết_hay.png
nhà báo,기자,Nhà báo đang phỏng vấn nhân chứng,기자가 증인을 인터뷰하고 있습니다.,https://r2.sangsang.vip/mp3/31b5d1004b39335e517040b063b9ec9a.mp3,https://r2.sangsang.vip/images/Nhà_báo_đang_phỏng_vấn_nhân_chứng.png
thế giới,세계,Hòa bình cho thế giới,세계 평화를 위하여.,https://r2.sangsang.vip/mp3/c246394d7adcc7893fa174c299cadf8a.mp3,https://r2.sangsang.vip/images/Hòa_bình_cho_thế_giới.png
châu Á,아시아,Việt Nam là một nước ở châu Á,베트남은 아시아에 있는 나라입니다.,https://r2.sangsang.vip/mp3/646a134487de231f98e45af0f911d27a.mp3,https://r2.sangsang.vip/images/Việt_Nam_là_một_nước_ở_châu_Á.png
châu Âu,유럽,Tôi muốn đi du lịch châu Âu,저는 유럽으로 여행 가고 싶어요.,https://r2.sangsang.vip/mp3/b38d17f262190fedf4ce26bfe9614cab.mp3,https://r2.sangsang.vip/images/Tôi_muốn_đi_du_lịch_châu_Âu.png
châu Mỹ,아메리카,Châu Mỹ có hai lục địa,아메리카 대륙에는 두 개의 대륙이 있습니다.,https://r2.sangsang.vip/mp3/e9f8f7fdb6a0013554c122d57af40dc6.mp3,https://r2.sangsang.vip/images/Châu_Mỹ_có_hai_lục_địa.png
châu Phi,아프리카,Châu Phi là một châu lục rộng lớn,아프리카는 광대한 대륙입니다.,https://r2.sangsang.vip/mp3/aa8bd5a519efb65b7d824833b4d26bf6.mp3,https://r2.sangsang.vip/images/Châu_Phi_là_một_châu_lục_rộng_lớn.png
châu Úc,오세아니아/호주,Kangaroo sống ở châu Úc,캥거루는 호주에 삽니다.,https://r2.sangsang.vip/mp3/f32623633a70a1879a68b713d2fa3247.mp3,https://r2.sangsang.vip/images/Kangaroo_sống_ở_châu_Úc.png
Việt Nam,베트남,Thủ đô của Việt Nam là Hà Nội,베트남의 수도는 하노이입니다.,https://r2.sangsang.vip/mp3/0a13b85b75beb0eb69b96d98a2f7d905.mp3,https://r2.sangsang.vip/images/Thủ_đô_của_Việt_Nam_là_Hà_Nội.png
Hàn Quốc,한국,Tôi là người Hàn Quốc,저는 한국 사람입니다.,https://r2.sangsang.vip/mp3/1bd038b3859f5be439643b13af37f075.mp3,https://r2.sangsang.vip/images/Tôi_là_người_Hàn_Quốc.png
Trung Quốc,중국,Trung Quốc là một đất nước rộng lớn,중국은 광대한 나라입니다.,https://r2.sangsang.vip/mp3/05a949f3b9ffad3c326ecc8a4aa55e6f.mp3,https://r2.sangsang.vip/images/Trung_Quốc_là_một_đất_nước_rộng_lớn.png
Nhật Bản,일본,Nhật Bản nổi tiếng với hoa anh đào,일본은 벚꽃으로 유명합니다.,https://r2.sangsang.vip/mp3/7cdfede0db5e01064fd576a36ff02296.mp3,https://r2.sangsang.vip/images/Nhật_Bản_nổi_tiếng_với_hoa_anh_đào.png
Mỹ,미국,New York là một thành phố lớn của Mỹ,뉴욕은 미국의 큰 도시입니다.,https://r2.sangsang.vip/mp3/54a1a12be0756898c4ae29305dca7a12.mp3,https://r2.sangsang.vip/images/New_York_là_một_thành_phố_lớn_của_Mỹ.png
Anh,영국,Thủ đô của Anh là Luân Đôn,영국의 수도는 런던입니다.,https://r2.sangsang.vip/mp3/0d5a109c3043dada3197144539c36e18.mp3,https://r2.sangsang.vip/images/Thủ_đô_của_Anh_là_Luân_Đôn.png
Pháp,프랑스,Paris là thủ đô của Pháp,파리는 프랑스의 수도입니다.,https://r2.sangsang.vip/mp3/a560970d846c78db750de5dcd49999ad.mp3,https://r2.sangsang.vip/images/Paris_là_thủ_đô_của_Pháp.png
Đức,독일,Đức nổi tiếng với bia và xúc xích,독일은 맥주와 소시지로 유명합니다.,https://r2.sangsang.vip/mp3/82d9e9ac66971e010fc2542bdcd2b7fb.mp3,https://r2.sangsang.vip/images/Đức_nổi_tiếng_với_bia_và_xúc_xích.png
Thái Lan,태국,Thái Lan có nhiều ngôi chùa đẹp,태국에는 아름다운 사원이 많습니다.,https://r2.sangsang.vip/mp3/bc2d06320a512ebe96dd2c1e628199e8.mp3,https://r2.sangsang.vip/images/Thái_Lan_có_nhiều_ngôi_chùa_đẹp.png
thành phố,도시,Hà Nội là một thành phố lớn,하노이는 큰 도시입니다.,https://r2.sangsang.vip/mp3/0d9a50302a349410ebade7e94fb838af.mp3,https://r2.sangsang.vip/images/Hà_Nội_là_một_thành_phố_lớn.png
thủ đô,수도,Thủ đô của Hàn Quốc là Seoul,한국의 수도는 서울입니다.,https://r2.sangsang.vip/mp3/2701c1d9eed9a672c49f33eef3de8e6b.mp3,https://r2.sangsang.vip/images/Thủ_đô_của_Hàn_Quốc_là_Seoul.png
đất nước,나라,Tôi yêu đất nước Việt Nam,저는 베트남을 사랑합니다.,https://r2.sangsang.vip/mp3/3a427400d56e7ba1aeb0eb05166a3c48.mp3,https://r2.sangsang.vip/images/Tôi_yêu_đất_nước_Việt_Nam.png
quê hương,고향,Quê hương tôi ở một vùng nông thôn yên bình,제 고향은 평화로운 시골 지역에 있습니다.,https://r2.sangsang.vip/mp3/42149d12f24af7f900b555459efaa9b0.mp3,https://r2.sangsang.vip/images/Quê_hương_tôi_ở_một_vùng_nông_thôn_yên_bình.png
làng,마을,Ngôi làng này rất đẹp,이 마을은 매우 아름답습니다.,https://r2.sangsang.vip/mp3/94c02761172702ac1dba10cf004baf94.mp3,https://r2.sangsang.vip/images/Ngôi_làng_này_rất_đẹp.png
phố,거리,Phố cổ Hà Nội rất đông vui,하노이의 구시가지는 매우 붐빕니다.,https://r2.sangsang.vip/mp3/377c326beaae2cb459aa46894cc5dc5b.mp3,https://r2.sangsang.vip/images/Phố_cổ_Hà_Nội_rất_đông_vui.png
đường,길,Đường phố rất đông xe cộ,거리는 차로 매우 붐빕니다.,https://r2.sangsang.vip/mp3/80e15003c8285aa67104366822ffc24c.mp3,https://r2.sangsang.vip/images/Đường_phố_rất_đông_xe_cộ.png
ngõ,골목,Nhà tôi ở trong một con ngõ nhỏ,우리 집은 작은 골목 안에 있습니다.,https://r2.sangsang.vip/mp3/5c688b506c711454294d808747f7b67d.mp3,https://r2.sangsang.vip/images/Nhà_tôi_ở_trong_một_con_ngõ_nhỏ.png
nhà ga,기차역,Tôi đang ở nhà ga,저는 기차역에 있습니다.,https://r2.sangsang.vip/mp3/f19881bf1b0ea4cd706a3048f21ad9b4.mp3,https://r2.sangsang.vip/images/Tôi_đang_ở_nhà_ga.png
bến xe,버스터미널,Bến xe Mỹ Đình rất đông khách,미딩 버스터미널은 손님으로 매우 붐빕니다.,https://r2.sangsang.vip/mp3/c707b8e3a10f2b0d12e016d22edaaa41.mp3,https://r2.sangsang.vip/images/Bến_xe_Mỹ_Đình_rất_đông_khách.png
sân vận động,경기장,Sân vận động quốc gia Mỹ Đình rất lớn,미딩 국립 경기장은 매우 큽니다.,https://r2.sangsang.vip/mp3/4da45ce8519e1e351f7dbf8fb1df219a.mp3,https://r2.sangsang.vip/images/Sân_vận_động_quốc_gia_Mỹ_Đình_rất_lớn.png
bảo tàng,박물관,Bảo tàng Lịch sử Việt Nam có nhiều hiện vật quý,베트남 역사 박물관에는 귀중한 유물이 많습니다.,https://r2.sangsang.vip/mp3/efbe8291202ede6c972f5f6d86b05060.mp3,https://r2.sangsang.vip/images/Bảo_tàng_Lịch_sử_Việt_Nam_có_nhiều_hiện_vật_quý.png
nhà hát,극장,Nhà hát Lớn Hà Nội có kiến trúc đẹp,하노이 오페라 하우스는 건축물이 아름답습니다.,https://r2.sangsang.vip/mp3/5262ba02e0432f76e4e3df31c2948d8c.mp3,https://r2.sangsang.vip/images/Nhà_hát_Lớn_Hà_Nội_có_kiến_trúc_đẹp.png
rạp chiếu phim,영화관,Tôi và bạn bè thường đến rạp chiếu phim,저와 친구들은 보통 영화관에 갑니다.,https://r2.sangsang.vip/mp3/ef8381f6ae9309c15df817ce92178b3a.mp3,https://r2.sangsang.vip/images/Tôi_và_bạn_bè_thường_đến_rạp_chiếu_phim.png
siêu thị,슈퍼마켓,Mẹ tôi đi siêu thị mua đồ ăn,엄마는 슈퍼마켓에 음식을 사러 가셨습니다.,https://r2.sangsang.vip/mp3/2128c3d788650c0f43b358a2906d732f.mp3,https://r2.sangsang.vip/images/Mẹ_tôi_đi_siêu_thị_mua_đồ_ăn.png
cửa hàng,가게,Cửa hàng này bán quần áo đẹp,이 가게는 예쁜 옷을 팝니다.,https://r2.sangsang.vip/mp3/c1221b04c5bb3be9b5e29803a2441414.mp3,https://r2.sangsang.vip/images/Cửa_hàng_này_bán_quần_áo_đẹp.png
hiệu sách,서점,Tôi thường đến hiệu sách để đọc sách,저는 보통 서점에 책을 읽으러 갑니다.,https://r2.sangsang.vip/mp3/5d3b195e46f72b26bcc02c0638007c0f.mp3,https://r2.sangsang.vip/images/Tôi_thường_đến_hiệu_sách_để_đọc_sách.png
thư viện,도서관,Thư viện quốc gia có rất nhiều sách,국립 도서관에는 책이 아주 많습니다.,https://r2.sangsang.vip/mp3/1080f904d0162a77742c8492c8e7cbf7.mp3,https://r2.sangsang.vip/images/Thư_viện_quốc_gia_có_rất_nhiều_sách.png
trường đại học,대학교,Anh ấy học ở trường Đại học Bách khoa,그는 과학기술대학교에서 공부합니다.,https://r2.sangsang.vip/mp3/3f1918566f49300e67b4b839b48dca83.mp3,https://r2.sangsang.vip/images/Anh_ấy_học_ở_trường_Đại_học_Bách_khoa.png
công an,공안 (경찰),Báo cho công an ngay lập tức,즉시 경찰에 신고하세요.,https://r2.sangsang.vip/mp3/6a9c9572d72f7a55f4eeebf4ca5c9fc1.mp3,https://r2.sangsang.vip/images/Báo_cho_công_an_ngay_lập_tức.png
chính phủ,정부,Chính phủ đã ban hành chính sách mới,정부가 새로운 정책을 발표했습니다.,https://r2.sangsang.vip/mp3/d27194aef6ea4d85f1d29bd0cab5b9e0.mp3,https://r2.sangsang.vip/images/Chính_phủ_đã_ban_hành_chính_sách_mới.png
luật,법,Mọi người phải tuân thủ pháp luật,모든 사람은 법을 준수해야 합니다.,https://r2.sangsang.vip/mp3/bae86484c521e2f503edbcde0ecadfec.mp3,https://r2.sangsang.vip/images/Mọi_người_phải_tuân_thủ_pháp_luật.png
chính trị,정치,Tôi không quan tâm đến chính trị,저는 정치에 관심이 없습니다.,https://r2.sangsang.vip/mp3/c557ff12de5797b560499cc4dc34b99d.mp3,https://r2.sangsang.vip/images/Tôi_không_quan_tâm_đến_chính_trị.png
kinh tế,경제,Kinh tế Việt Nam đang phát triển nhanh,베트남 경제는 빠르게 발전하고 있습니다.,https://r2.sangsang.vip/mp3/b20c662c6b08fdba70bd15f59da859cc.mp3,https://r2.sangsang.vip/images/Kinh_tế_Việt_Nam_đang_phát_triển_nhanh.png
văn hóa,문화,Văn hóa Việt Nam rất đa dạng,베트남 문화는 매우 다양합니다.,https://r2.sangsang.vip/mp3/09927dbfd93648527919de89c1ca3361.mp3,https://r2.sangsang.vip/images/Văn_hóa_Việt_Nam_rất_đa_dạng.png
xã hội,사회,Chúng ta cần quan tâm đến các vấn đề xã hội,우리는 사회 문제에 관심을 가져야 합니다.,https://r2.sangsang.vip/mp3/b56a8cda72eade27ac0af8b2891b63a9.mp3,https://r2.sangsang.vip/images/Chúng_ta_cần_quan_tâm_đến_các_vấn_đề_xã_hội.png
lịch sử,역사,Lịch sử Việt Nam có từ lâu đời,베트남의 역사는 오래되었습니다.,https://r2.sangsang.vip/mp3/075e8add89846f77d77468c56a2f53ad.mp3,https://r2.sangsang.vip/images/Lịch_sử_Việt_Nam_có_từ_lâu_đời.png
địa lý,지리,Tôi thích học môn địa lý,저는 지리 과목을 좋아합니다.,https://r2.sangsang.vip/mp3/ec5aeda23d1a5b478cf7d1864f795643.mp3,https://r2.sangsang.vip/images/Tôi_thích_học_môn_địa_lý.png
khoa học,과학,Khoa học và công nghệ đang thay đổi thế giới,과학과 기술이 세상을 바꾸고 있습니다.,https://r2.sangsang.vip/mp3/c506eae5922cc1e690fc4e62b15f9620.mp3,https://r2.sangsang.vip/images/Khoa_học_và_công_nghệ_đang_thay_đổi_thế_giới.png
kỹ thuật,기술,Anh ấy là một chuyên gia về kỹ thuật,그는 기술 전문가입니다.,https://r2.sangsang.vip/mp3/6a64677e8c11ad8a4aa011ed1098ffec.mp3,https://r2.sangsang.vip/images/Anh_ấy_là_một_chuyên_gia_về_kỹ_thuật.png
